T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,10,72,179,256,156,108,63,30,7,2,2,2,1,0,
0,11,68,226,234,248,115,32,11,7,7,2,0,3,0,
0,11,81,227,377,235,92,41,15,7,6,2,1,3,1,
0,8,57,258,348,166,56,22,13,7,7,7,3,0,0,
0,6,61,254,249,123,77,32,16,7,7,7,1,1,0,
0,12,68,169,266,272,142,72,24,9,7,5,0,0,0,
0,12,68,169,266,272,142,72,24,9,7,5,0,0,0,
0,7,55,217,337,144,68,39,18,10,7,4,0,0,0,
0,13,73,228,340,194,82,44,19,16,7,2,0,4,0,
0,13,73,228,340,194,82,44,19,16,7,2,0,4,0,
0,14,105,316,357,236,96,56,35,13,7,6,5,5,0,
0,10,81,261,360,235,108,46,28,17,9,4,0,1,0,
0,10,65,255,371,242,108,48,17,13,9,4,0,0,0,
0,8,59,252,272,136,98,46,21,9,7,4,0,0,0,
0,13,108,337,305,151,86,41,23,10,7,4,0,2,7,
0,13,108,337,305,151,86,41,23,10,7,4,0,2,7,
0,10,55,192,337,198,123,51,27,11,7,2,0,0,0,
0,10,62,191,305,160,97,52,23,9,4,1,0,1,0,
