T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,2,3,7,8,8,9,13,22,36,62,94,131,175,298,388,521,636,771,885,1140,1405,1761,2138,2466,2708,2774,3216,3278,3074,2925,2936,2680,2608,2462,2386,2415,2462,2407,2513,2699,2660,2608,2385,1962,1706,1342,1080,873,674,561,440,392,355,332,335,342,354,294,245,221,180,155,130,105,90,76,60,53,50,59,51,59,54,58,56,51,40,31,24,25,26,26,25,21,20,23,24,24,28,24,29,27,23,28,30,34,34,29,21,19,18,11,7,9,8,
1,1,3,6,8,11,15,19,28,37,62,86,98,140,223,291,406,580,785,1006,1199,1402,1667,2274,2864,3504,4220,4589,4471,4966,4912,4418,3688,3373,3139,2854,2552,2171,1788,1587,1627,1782,1704,1757,1542,1248,1175,1125,1001,789,704,612,527,483,460,428,376,351,322,294,251,200,154,123,118,92,86,67,66,55,49,51,47,43,45,54,55,50,42,36,31,25,22,19,28,30,33,29,36,35,35,36,37,34,30,29,24,22,18,17,13,12,11,13,12,9,
1,1,3,6,8,11,15,19,28,37,62,86,98,140,223,291,406,580,785,1006,1199,1402,1667,2274,2864,3504,4220,4589,4471,4966,4912,4418,3688,3373,3139,2854,2552,2171,1788,1587,1627,1782,1704,1757,1542,1248,1175,1125,1001,789,704,612,527,483,460,428,376,351,322,294,251,200,154,123,118,92,86,67,66,55,49,51,47,43,45,54,55,50,42,36,31,25,22,19,28,30,33,29,36,35,35,36,37,34,30,29,24,22,18,17,13,12,11,13,12,9,
1,1,3,6,8,11,15,19,28,37,62,86,98,140,223,291,406,580,785,1006,1199,1402,1667,2274,2864,3504,4220,4589,4471,4966,4912,4418,3688,3373,3139,2854,2552,2171,1788,1587,1627,1782,1704,1757,1542,1248,1175,1125,1001,789,704,612,527,483,460,428,376,351,322,294,251,200,154,123,118,92,86,67,66,55,49,51,47,43,45,54,55,50,42,36,31,25,22,19,28,30,33,29,36,35,35,36,37,34,30,29,24,22,18,17,13,12,11,13,12,9,
1,1,3,5,7,12,12,15,26,42,64,93,110,161,231,316,435,575,731,1029,1204,1480,1735,1897,2014,2156,2052,1977,1837,1993,2047,1884,1850,1874,1853,1807,1747,1783,2059,2462,2343,2182,2050,1906,1661,1343,1070,870,718,574,511,477,452,388,324,264,219,182,156,131,124,105,100,98,106,95,88,83,73,69,64,53,50,45,49,45,43,39,34,32,34,28,22,19,17,14,13,14,15,20,22,24,30,37,37,41,38,35,30,32,25,28,31,32,36,36,
1,3,3,7,12,12,17,25,39,45,54,66,100,170,248,343,435,555,776,955,1158,1434,1791,2295,2625,2950,3149,3576,3778,3622,3317,3054,3008,2891,3015,2796,2210,2068,1899,1540,1204,1008,903,790,731,699,707,642,561,458,380,305,270,228,205,188,166,139,115,116,113,103,85,77,66,63,59,59,53,41,37,28,29,22,23,20,22,26,23,27,32,45,58,79,107,102,80,62,49,45,44,44,49,41,37,25,24,20,12,14,16,22,22,15,16,21,
1,1,3,3,5,10,12,18,23,36,61,84,133,195,273,347,497,655,753,859,1104,1326,1532,1806,1990,2428,2553,2486,2532,2596,2781,2739,2644,2522,2236,1826,1643,1523,1594,1777,1844,1880,1851,1724,1536,1217,993,852,712,633,533,461,399,363,328,337,325,324,332,291,239,200,165,144,122,100,79,62,59,53,45,40,37,37,40,38,39,45,47,38,40,42,44,48,49,51,60,71,81,81,79,74,66,55,44,31,24,17,12,9,7,6,6,7,11,13,
1,3,4,5,5,8,12,19,27,42,69,92,128,160,185,245,349,513,646,896,1278,1613,1936,2364,2522,2727,3138,3125,3188,3217,3106,2719,2869,2859,2712,2419,2383,2203,1837,1845,1768,1672,1530,1505,1418,1207,1063,916,761,695,581,447,376,298,250,212,185,154,143,114,94,95,80,56,47,43,41,34,33,34,32,24,28,28,32,37,35,30,34,29,27,24,19,16,11,9,7,6,5,5,4,2,2,7,6,9,15,15,18,16,18,21,30,34,36,40,
1,1,4,5,8,13,16,18,29,39,66,103,173,263,397,529,697,762,855,955,1156,1330,1512,1621,1826,2154,2645,3060,3189,3395,4031,4699,4891,4509,3775,3247,2773,2433,2087,1860,1705,1526,1442,1253,1170,1043,987,913,751,636,538,429,364,327,311,286,237,199,182,156,145,141,137,131,110,91,72,57,54,44,37,30,27,22,20,20,24,32,30,38,49,53,50,42,35,28,27,29,28,26,24,18,18,24,23,28,28,34,46,43,55,61,62,58,49,45,
1,2,3,3,5,7,9,15,22,29,44,62,88,135,212,321,513,794,1207,1680,2103,2250,2340,2268,2167,2140,2165,2377,2828,3281,3547,3693,3749,3377,2781,2532,2112,1813,1493,1253,966,819,717,651,570,522,462,426,417,461,474,432,402,389,350,305,260,222,188,162,148,127,111,113,112,119,114,110,100,83,76,63,54,46,36,36,42,35,33,27,22,14,13,14,13,12,10,13,16,15,20,24,25,31,34,39,39,35,30,29,25,23,17,19,25,24,
