"t","R","S","I","sample","Gamma","Beta","Rt"
32.0083431690355,4750,2536,2714,616,0.143,4.5e-05,0.798041958041958
32.0087630898264,4751,2536,2713,616,0.143,4.5e-05,0.798041958041958
32.0122604028669,4751,2535,2714,616,0.143,4.5e-05,0.797727272727273
32.0148862895698,4751,2534,2715,616,0.143,4.5e-05,0.797412587412588
32.0171549847057,4752,2534,2714,616,0.143,4.5e-05,0.797412587412587
32.0177673419946,4753,2534,2713,616,0.143,4.5e-05,0.797412587412588
32.0179514052164,4754,2534,2712,616,0.143,4.5e-05,0.797412587412588
32.0196969843766,4754,2533,2713,616,0.143,4.5e-05,0.797097902097902
32.021322717614,4755,2533,2712,616,0.143,4.5e-05,0.797097902097902
32.0226702459306,4756,2533,2711,617,0.143,4.5e-05,0.797097902097902
32.0234655134271,4757,2533,2710,617,0.143,4.5e-05,0.797097902097902
32.0251877992052,4758,2533,2709,617,0.143,4.5e-05,0.797097902097902
32.0254189503998,4758,2532,2710,617,0.143,4.5e-05,0.796783216783217
32.025511101258,4759,2532,2709,617,0.143,4.5e-05,0.796783216783217
32.0257830232775,4760,2532,2708,617,0.143,4.5e-05,0.796783216783217
32.0265507130689,4761,2532,2707,617,0.143,4.5e-05,0.796783216783217
32.028739889498,4762,2532,2706,617,0.143,4.5e-05,0.796783216783217
32.0307447177647,4763,2532,2705,617,0.143,4.5e-05,0.796783216783217
32.0307498309947,4763,2531,2706,617,0.143,4.5e-05,0.796468531468532
32.0308364278075,4764,2531,2705,617,0.143,4.5e-05,0.796468531468532
32.0320761767331,4765,2531,2704,617,0.143,4.5e-05,0.796468531468532
32.0326270472021,4765,2530,2705,617,0.143,4.5e-05,0.796153846153846
32.0339745761418,4766,2530,2704,617,0.143,4.5e-05,0.796153846153846
32.0347806545074,4766,2529,2705,617,0.143,4.5e-05,0.795839160839161
32.0365363475795,4767,2529,2704,617,0.143,4.5e-05,0.795839160839161
32.0383739697251,4767,2528,2705,617,0.143,4.5e-05,0.795524475524476
32.0470705784712,4767,2527,2706,617,0.143,4.5e-05,0.79520979020979
32.0473034094479,4768,2527,2705,617,0.143,4.5e-05,0.79520979020979
32.0477021335417,4768,2526,2706,617,0.143,4.5e-05,0.794895104895105
32.0499183211593,4769,2526,2705,617,0.143,4.5e-05,0.794895104895105
32.0508658575913,4770,2526,2704,617,0.143,4.5e-05,0.794895104895105
32.0524984301882,4771,2526,2703,617,0.143,4.5e-05,0.794895104895105
32.0557385492998,4771,2525,2704,617,0.143,4.5e-05,0.79458041958042
32.055930636182,4771,2524,2705,617,0.143,4.5e-05,0.794265734265734
32.0559310389316,4771,2523,2706,617,0.143,4.5e-05,0.793951048951049
32.0561248392158,4772,2523,2705,617,0.143,4.5e-05,0.793951048951049
32.0561342534002,4772,2522,2706,617,0.143,4.5e-05,0.793636363636364
32.057160061506,4773,2522,2705,618,0.143,4.5e-05,0.793636363636364
32.0580213672163,4773,2521,2706,618,0.143,4.5e-05,0.793321678321678
32.0616008320528,4774,2521,2705,618,0.143,4.5e-05,0.793321678321679
32.0630106934674,4774,2520,2706,618,0.143,4.5e-05,0.793006993006993
32.0638323914432,4774,2519,2707,618,0.143,4.5e-05,0.792692307692308
32.0659456405559,4774,2518,2708,618,0.143,4.5e-05,0.792377622377622
32.066718334202,4775,2518,2707,619,0.143,4.5e-05,0.792377622377623
32.0673109053156,4776,2518,2706,619,0.143,4.5e-05,0.792377622377623
32.0710890735042,4776,2517,2707,619,0.143,4.5e-05,0.792062937062937
32.0714782468139,4776,2516,2708,619,0.143,4.5e-05,0.791748251748252
32.071633445598,4777,2516,2707,619,0.143,4.5e-05,0.791748251748252
32.072148037026,4777,2515,2708,619,0.143,4.5e-05,0.791433566433567
32.0723118001334,4778,2515,2707,619,0.143,4.5e-05,0.791433566433567
32.0728592950396,4779,2515,2706,619,0.143,4.5e-05,0.791433566433567
32.0730166729375,4780,2515,2705,620,0.143,4.5e-05,0.791433566433567
32.0748059302734,4781,2515,2704,620,0.143,4.5e-05,0.791433566433567
32.074843386956,4782,2515,2703,620,0.143,4.5e-05,0.791433566433567
32.0791181213815,4782,2514,2704,620,0.143,4.5e-05,0.791118881118881
32.0802871030586,4783,2514,2703,621,0.143,4.5e-05,0.791118881118881
32.0809359510875,4784,2514,2702,621,0.143,4.5e-05,0.791118881118881
32.082780588947,4785,2514,2701,621,0.143,4.5e-05,0.791118881118881
32.0830635868973,4785,2513,2702,621,0.143,4.5e-05,0.790804195804196
32.083775974435,4786,2513,2701,621,0.143,4.5e-05,0.790804195804196
32.0839360765922,4787,2513,2700,621,0.143,4.5e-05,0.790804195804196
32.0848492692059,4788,2513,2699,622,0.143,4.5e-05,0.790804195804196
32.084856711753,4789,2513,2698,622,0.143,4.5e-05,0.790804195804196
32.0867892068856,4790,2513,2697,622,0.143,4.5e-05,0.790804195804196
32.0895814441527,4791,2513,2696,622,0.143,4.5e-05,0.790804195804196
32.0902384842171,4791,2512,2697,622,0.143,4.5e-05,0.790489510489511
32.0907364589574,4792,2512,2696,622,0.143,4.5e-05,0.790489510489511
32.0917469575503,4793,2512,2695,622,0.143,4.5e-05,0.79048951048951
32.0921919085897,4794,2512,2694,622,0.143,4.5e-05,0.79048951048951
32.0939900189867,4794,2511,2695,622,0.143,4.5e-05,0.790174825174825
32.0947989731174,4795,2511,2694,623,0.143,4.5e-05,0.790174825174825
32.0996224018362,4796,2511,2693,623,0.143,4.5e-05,0.790174825174825
32.100555490547,4797,2511,2692,623,0.143,4.5e-05,0.790174825174825
32.1017728110371,4797,2510,2693,623,0.143,4.5e-05,0.78986013986014
32.1021267986354,4797,2509,2694,623,0.143,4.5e-05,0.789545454545455
32.1034554670602,4798,2509,2693,623,0.143,4.5e-05,0.789545454545455
32.1057290709203,4799,2509,2692,624,0.143,4.5e-05,0.789545454545455
32.1066564269971,4800,2509,2691,625,0.143,4.5e-05,0.789545454545455
32.107431611555,4800,2508,2692,625,0.143,4.5e-05,0.789230769230769
32.108295818995,4801,2508,2691,625,0.143,4.5e-05,0.789230769230769
32.1096231038737,4802,2508,2690,625,0.143,4.5e-05,0.789230769230769
32.1100169550179,4802,2507,2691,625,0.143,4.5e-05,0.788916083916084
32.1107973210825,4803,2507,2690,625,0.143,4.5e-05,0.788916083916084
32.1125509142589,4804,2507,2689,625,0.143,4.5e-05,0.788916083916084
32.11326349201,4804,2506,2690,625,0.143,4.5e-05,0.788601398601399
32.1143047866731,4805,2506,2689,625,0.143,4.5e-05,0.788601398601399
32.114628414938,4806,2506,2688,625,0.143,4.5e-05,0.788601398601399
32.1154763950971,4807,2506,2687,626,0.143,4.5e-05,0.788601398601399
32.1173951938939,4807,2505,2688,626,0.143,4.5e-05,0.788286713286714
32.1176900620642,4808,2505,2687,626,0.143,4.5e-05,0.788286713286713
32.1182055771708,4808,2504,2688,626,0.143,4.5e-05,0.787972027972028
32.1184357020542,4809,2504,2687,626,0.143,4.5e-05,0.787972027972028
32.1193109083043,4810,2504,2686,626,0.143,4.5e-05,0.787972027972028
32.1203652887579,4811,2504,2685,626,0.143,4.5e-05,0.787972027972028
32.1217002989905,4811,2503,2686,626,0.143,4.5e-05,0.787657342657343
32.1229572545986,4812,2503,2685,626,0.143,4.5e-05,0.787657342657343
32.1239328917239,4812,2502,2686,626,0.143,4.5e-05,0.787342657342657
32.1247974444449,4813,2502,2685,626,0.143,4.5e-05,0.787342657342657
32.1270627854939,4814,2502,2684,626,0.143,4.5e-05,0.787342657342658
32.1284318783893,4814,2501,2685,626,0.143,4.5e-05,0.787027972027972
32.1298756437431,4814,2500,2686,626,0.143,4.5e-05,0.786713286713287
32.1311421569938,4815,2500,2685,626,0.143,4.5e-05,0.786713286713287
32.1334612189027,4816,2500,2684,626,0.143,4.5e-05,0.786713286713287
32.1334731705987,4817,2500,2683,626,0.143,4.5e-05,0.786713286713287
32.1362114511345,4818,2500,2682,626,0.143,4.5e-05,0.786713286713287
32.1364444589133,4819,2500,2681,626,0.143,4.5e-05,0.786713286713287
32.1365375332414,4819,2499,2682,626,0.143,4.5e-05,0.786398601398602
32.1366347298672,4820,2499,2681,626,0.143,4.5e-05,0.786398601398602
32.1370753980915,4821,2499,2680,627,0.143,4.5e-05,0.786398601398602
32.1374938000848,4821,2498,2681,627,0.143,4.5e-05,0.786083916083916
32.1385241396702,4822,2498,2680,627,0.143,4.5e-05,0.786083916083916
32.1413143946285,4822,2497,2681,627,0.143,4.5e-05,0.785769230769231
32.1431778753621,4823,2497,2680,627,0.143,4.5e-05,0.785769230769231
32.143252275301,4824,2497,2679,627,0.143,4.5e-05,0.785769230769231
32.1433822326886,4825,2497,2678,627,0.143,4.5e-05,0.785769230769231
32.1440399789454,4826,2497,2677,627,0.143,4.5e-05,0.785769230769231
32.1444375933355,4826,2496,2678,627,0.143,4.5e-05,0.785454545454546
32.1467385674025,4826,2495,2679,627,0.143,4.5e-05,0.78513986013986
32.1470899885399,4827,2495,2678,627,0.143,4.5e-05,0.78513986013986
32.1471914616446,4828,2495,2677,627,0.143,4.5e-05,0.78513986013986
32.1480002249307,4828,2494,2678,627,0.143,4.5e-05,0.784825174825175
32.1481331747427,4828,2493,2679,627,0.143,4.5e-05,0.78451048951049
32.1493395814592,4828,2492,2680,627,0.143,4.5e-05,0.784195804195804
32.1516502837462,4828,2491,2681,627,0.143,4.5e-05,0.783881118881119
32.1519172496401,4829,2491,2680,627,0.143,4.5e-05,0.783881118881119
32.1520407216561,4830,2491,2679,627,0.143,4.5e-05,0.783881118881119
32.1540539182811,4831,2491,2678,627,0.143,4.5e-05,0.783881118881119
32.1549058410145,4832,2491,2677,627,0.143,4.5e-05,0.783881118881119
32.1557171274257,4833,2491,2676,627,0.143,4.5e-05,0.783881118881119
32.1580687472097,4834,2491,2675,627,0.143,4.5e-05,0.783881118881119
32.1587641495191,4835,2491,2674,628,0.143,4.5e-05,0.783881118881119
32.1600684396906,4836,2491,2673,628,0.143,4.5e-05,0.783881118881119
32.1626719711494,4837,2491,2672,628,0.143,4.5e-05,0.783881118881119
32.1642168617971,4838,2491,2671,628,0.143,4.5e-05,0.783881118881119
32.167435209659,4838,2490,2672,628,0.143,4.5e-05,0.783566433566434
32.167653617323,4839,2490,2671,628,0.143,4.5e-05,0.783566433566434
32.1677721074281,4840,2490,2670,628,0.143,4.5e-05,0.783566433566434
32.1679229295827,4840,2489,2671,628,0.143,4.5e-05,0.783251748251748
32.1691016627593,4841,2489,2670,628,0.143,4.5e-05,0.783251748251748
