T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,2,4,7,8,14,15,17,22,32,45,49,63,79,104,165,192,249,313,391,432,500,562,669,830,1039,1210,1362,1536,1718,2016,2350,2543,2914,3553,4069,4423,4623,4680,4960,5019,5066,4782,4630,4277,4066,3879,3531,3179,2907,2602,2316,2001,1793,1632,1466,1358,1239,1040,906,786,706,641,596,506,449,408,357,326,288,268,234,216,191,169,152,134,128,125,131,117,116,102,94,76,73,60,52,43,39,32,30,26,22,25,22,23,23,26,22,20,20,13,12,12,11,8,5,3,2,2,2,2,0,0,0,0,0,0,0,
1,2,3,5,6,8,11,13,16,20,28,42,59,75,97,114,140,160,213,267,315,400,492,621,820,1021,1314,1728,2076,2269,2521,2643,2837,3090,3427,3864,4200,4736,4977,5294,5280,5048,4608,4411,4171,4007,3699,3425,3186,2750,2477,2226,1956,1761,1575,1431,1225,1109,1002,878,794,775,690,608,532,492,442,373,336,319,299,271,255,237,212,192,176,166,155,141,123,116,103,96,83,76,65,50,41,32,28,24,20,15,12,12,10,9,6,6,7,6,5,4,4,5,7,8,8,9,8,10,8,6,5,5,4,4,4,4,
1,2,3,5,6,8,11,13,16,20,28,42,59,75,97,114,140,160,213,267,315,400,492,621,820,1021,1314,1728,2076,2269,2521,2643,2837,3090,3427,3864,4200,4736,4977,5294,5280,5048,4608,4411,4171,4007,3699,3425,3186,2750,2477,2226,1956,1761,1575,1431,1225,1109,1002,878,794,775,690,608,532,492,442,373,336,319,299,271,255,237,212,192,176,166,155,141,123,116,103,96,83,76,65,50,41,32,28,24,20,15,12,12,10,9,6,6,7,6,5,4,4,5,7,8,8,9,8,10,8,6,5,5,4,4,4,4,
1,2,2,4,8,10,10,14,25,28,33,52,67,88,119,144,180,238,292,413,484,533,637,751,902,1140,1385,1772,2149,2598,2989,3291,3600,3971,4209,4313,4406,4613,4417,4195,4144,4066,3891,3730,3723,3755,3543,3067,2700,2344,2064,1831,1581,1421,1259,1128,1051,956,850,773,728,667,619,549,512,462,412,384,361,321,273,269,237,229,207,174,145,130,128,118,101,91,77,68,64,62,50,41,33,35,30,28,23,21,18,13,13,12,11,11,13,9,10,10,8,7,11,8,5,4,4,2,2,2,2,1,1,1,0,0,
1,2,2,4,8,10,10,14,25,28,33,52,67,88,119,144,180,238,292,413,484,533,637,751,902,1140,1385,1772,2149,2598,2989,3291,3600,3971,4209,4313,4406,4613,4417,4195,4144,4066,3891,3730,3723,3755,3543,3067,2700,2344,2064,1831,1581,1421,1259,1128,1051,956,850,773,728,667,619,549,512,462,412,384,361,321,273,269,237,229,207,174,145,130,128,118,101,91,77,68,64,62,50,41,33,35,30,28,23,21,18,13,13,12,11,11,13,9,10,10,8,7,11,8,5,4,4,2,2,2,2,1,1,1,0,0,
1,3,5,10,11,13,16,14,23,25,35,42,56,84,100,122,166,188,243,323,375,447,555,716,909,1105,1421,1720,1972,2218,2718,3187,3647,3963,4046,4092,4129,4353,4517,4615,4812,4711,4410,4151,3835,3472,3098,2773,2541,2439,2212,2029,1871,1723,1645,1479,1315,1175,1034,884,764,678,594,537,489,427,373,349,328,291,269,244,223,197,186,174,148,132,125,117,99,88,69,61,54,49,37,27,24,21,21,17,16,18,18,15,12,12,11,9,9,8,8,8,8,9,8,8,4,3,3,2,2,1,1,1,0,0,0,0,
1,3,5,10,11,13,16,14,23,25,35,42,56,84,100,122,166,188,243,323,375,447,555,716,909,1105,1421,1720,1972,2218,2718,3187,3647,3963,4046,4092,4129,4353,4517,4615,4812,4711,4410,4151,3835,3472,3098,2773,2541,2439,2212,2029,1871,1723,1645,1479,1315,1175,1034,884,764,678,594,537,489,427,373,349,328,291,269,244,223,197,186,174,148,132,125,117,99,88,69,61,54,49,37,27,24,21,21,17,16,18,18,15,12,12,11,9,9,8,8,8,8,9,8,8,4,3,3,2,2,1,1,1,0,0,0,0,
1,3,5,10,11,13,16,14,23,25,35,42,56,84,100,122,166,188,243,323,375,447,555,716,909,1105,1421,1720,1972,2218,2718,3187,3647,3963,4046,4092,4129,4353,4517,4615,4812,4711,4410,4151,3835,3472,3098,2773,2541,2439,2212,2029,1871,1723,1645,1479,1315,1175,1034,884,764,678,594,537,489,427,373,349,328,291,269,244,223,197,186,174,148,132,125,117,99,88,69,61,54,49,37,27,24,21,21,17,16,18,18,15,12,12,11,9,9,8,8,8,8,9,8,8,4,3,3,2,2,1,1,1,0,0,0,0,
1,2,3,5,6,9,12,15,18,23,30,45,64,92,114,129,142,186,222,275,336,416,520,637,801,1035,1251,1568,1918,2360,2847,3320,3691,4095,4431,5021,5105,5117,5014,4868,4661,4447,4209,4014,3894,3887,3550,3072,2842,2542,2311,2176,2024,1849,1642,1460,1263,1055,911,797,702,594,545,545,496,445,391,352,301,275,285,294,269,248,226,217,194,173,151,126,113,96,76,67,59,46,44,37,32,30,22,20,18,16,15,12,11,8,8,6,6,6,6,6,8,12,13,14,11,9,9,8,8,5,5,4,3,3,3,4,
1,2,3,6,8,11,16,20,23,28,39,57,69,88,104,139,191,215,278,355,414,498,598,704,874,1043,1215,1515,1850,2136,2453,2821,3151,3542,3833,4205,4541,4774,5003,5006,5079,5088,4852,4452,4283,4036,3916,3864,3691,3197,3010,2570,2235,1933,1686,1451,1301,1148,1020,980,942,912,840,760,670,590,536,446,385,340,322,274,244,203,191,174,170,143,123,105,95,86,84,79,70,65,52,48,36,31,29,27,28,25,16,12,13,12,10,8,8,5,6,7,7,10,9,10,9,10,11,10,10,7,7,6,5,6,5,5,
1,2,3,9,12,16,15,17,24,35,44,58,64,91,107,143,178,220,265,330,389,455,552,666,871,1105,1332,1594,1927,2114,2415,2790,3327,3909,4442,4763,5184,5427,5377,5105,4830,4635,4627,4353,3917,3672,3522,3326,3112,2916,2607,2312,2042,1848,1700,1467,1277,1204,1078,969,857,738,649,579,543,502,477,445,399,355,309,267,230,220,213,224,216,192,161,142,132,116,99,93,82,73,67,61,50,41,35,27,28,27,29,33,38,37,38,33,30,30,29,25,22,18,14,11,11,10,9,7,6,6,6,4,5,4,3,3,
1,2,4,7,9,8,8,12,20,25,32,46,61,85,106,152,184,200,235,279,347,425,525,621,760,926,1144,1435,1766,2291,2836,3364,3650,3827,3982,4447,4594,4922,5227,5307,5037,5260,5223,4842,4498,4028,3710,3649,3393,3004,2716,2391,2066,1831,1719,1483,1345,1193,1130,1039,1031,930,794,712,641,581,555,500,440,386,337,300,284,274,237,205,187,154,135,113,94,88,71,62,61,53,52,45,38,31,27,18,14,13,10,8,9,9,8,6,6,8,8,9,10,10,11,9,9,8,7,7,6,5,6,6,8,8,10,13,
1,2,3,7,9,11,13,14,20,25,37,54,65,91,115,147,207,243,300,335,393,474,574,694,888,1105,1367,1659,2072,2527,3060,3655,4130,4466,4805,5066,5237,5394,5281,4852,4659,4456,4282,4170,4071,3776,3502,3200,2983,2579,2379,2055,1895,1673,1492,1486,1448,1308,1086,989,908,847,764,663,588,511,433,400,380,329,277,266,254,236,212,177,142,128,113,92,72,64,52,44,36,32,29,25,18,15,16,11,11,9,7,4,4,5,5,4,4,4,6,6,6,8,9,8,9,10,9,7,7,6,6,6,5,5,4,4,
