"t","R","S","I","psi"
"17.6599447099792","121","19631","248","3"
"17.6629148452902","121","19630","249","3"
"17.6641744517645","121","19629","250","3"
"17.6729185888863","121","19628","251","3"
"17.6780212073787","122","19628","250","3"
"17.6877582653794","123","19628","249","3"
"17.6898264476665","123","19627","250","3"
"17.6969817196713","123","19626","251","3"
"17.7018075859869","123","19625","252","3"
"17.7121405002203","124","19625","251","3"
"17.7341619802022","124","19624","252","3"
"17.7351731833107","125","19624","251","3"
"17.7459185969817","126","19624","250","3"
"17.7477649928345","127","19624","249","3"
"17.7516582948486","128","19624","248","3"
"17.7547282214982","128","19623","249","3"
"17.7610653610549","129","19623","248","3"
"17.7733185369335","130","19623","247","3"
"17.7739271208855","130","19622","248","3"
"17.7862613602342","130","19621","249","3"
"17.7898683761863","131","19621","248","3"
"17.8062104304644","131","19620","249","3"
"17.825053830638","131","19619","250","3"
"17.8404968786136","131","19618","251","3"
"17.8443171359668","131","19617","252","3"
"17.8476213266896","131","19616","253","3"
"17.8495651043217","132","19616","252","3"
"17.8517412904977","132","19615","253","3"
"17.8604253700086","132","19614","254","3"
"17.8830733972744","132","19613","255","3"
"17.9004464292915","132","19612","256","3"
"17.9107087062306","132","19611","257","3"
"17.9220750235199","133","19611","256","3"
"17.925126408606","133","19610","257","3"
"17.9286324146255","133","19609","258","3"
"17.9294746865558","134","19609","257","3"
"17.930101200543","134","19608","258","3"
"17.9366153949206","134","19607","259","3"
"17.9432406730554","135","19607","258","3"
"17.9469986279055","135","19606","259","3"
"17.9526880460422","135","19605","260","3"
"17.9539119520831","135","19604","261","3"
"17.9555449129511","135","19603","262","3"
"17.9869606436501","135","19602","263","3"
"17.9980685452483","135","19601","264","3"
"18.0163913161656","135","19600","265","3"
"18.0194992585094","136","19600","264","3"
"18.0226459501131","137","19600","263","3"
"18.0304898822557","137","19599","264","3"
"18.0329096429737","138","19599","263","3"
"18.0549762884873","139","19599","262","3"
"18.0624201144596","139","19598","263","3"
"18.0657035394953","139","19597","264","3"
"18.0658112727457","139","19596","265","3"
"18.075758822715","140","19596","264","3"
"18.0803019721291","140","19595","265","3"
"18.0953546649684","140","19594","266","3"
"18.0985162167845","140","19593","267","3"
"18.1005105019897","140","19592","268","3"
"18.1072601973883","140","19591","269","3"
"18.1100896097374","140","19590","270","3"
"18.1352189696019","141","19590","269","3"
"18.1469741638169","142","19590","268","3"
"18.1487322956034","142","19589","269","3"
"18.1603735707331","142","19588","270","3"
"18.1608081127063","143","19588","269","3"
"18.1682501846027","143","19587","270","3"
"18.1770234261713","143","19586","271","3"
"18.183068295761","144","19586","270","3"
"18.1981003494465","145","19586","269","3"
