"t","S","E","I","R","psi","Total"
"20.4711963874811","19842","76","40","36","6","20000"
"20.4807114553144","19841","77","40","36","6","20000"
"20.5057659012492","19841","77","39","37","6","20000"
"20.5748739130471","19840","78","39","37","6","20000"
"20.5958893782986","19839","79","39","37","6","20000"
"20.599729391636","19838","80","39","37","6","20000"
"20.6182622779481","19837","81","39","37","6","20000"
"20.6379658731545","19836","82","39","37","6","20000"
"20.6511605600906","19835","83","39","37","6","20000"
"20.688467676284","19834","84","39","37","6","20000"
"20.7109354309241","19833","85","39","37","6","20000"
"20.7437585734519","19833","85","38","38","6","20000"
"20.7697615922244","19833","84","39","38","6","20000"
"20.7994496748299","19833","83","40","38","6","20000"
"20.8744086994172","19832","84","40","38","6","20000"
"20.9110334073623","19832","84","39","38","7","20000"
"20.923005897908","19831","85","39","38","7","20000"
"20.9275732045638","19830","86","39","38","7","20000"
"20.9287330107847","19830","85","40","38","7","20000"
"20.9612224405311","19830","85","39","39","7","20000"
"21.013329898914","19830","84","40","39","7","20000"
"21.0324993785903","19830","84","39","40","7","20000"
"21.0501040494821","19829","85","39","40","7","20000"
"21.0578792103972","19828","86","39","40","7","20000"
"21.0615844485443","19828","85","40","40","7","20000"
"21.0877007164782","19828","85","39","41","7","20000"
"21.1027188048042","19827","86","39","41","7","20000"
"21.1443996757647","19827","85","40","41","7","20000"
"21.1803548087162","19827","84","41","41","7","20000"
"21.1890737382233","19826","85","41","41","7","20000"
"21.2194403826967","19826","84","42","41","7","20000"
"21.2383884985251","19826","83","43","41","7","20000"
"21.2718359676679","19826","82","44","41","7","20000"
"21.3177177522232","19825","83","44","41","7","20000"
"21.3330710133097","19825","83","43","41","8","20000"
"21.3964360333763","19825","82","44","41","8","20000"
"21.4331320818925","19825","81","45","41","8","20000"
"21.469424510837","19824","82","45","41","8","20000"
"21.5011357112127","19823","83","45","41","8","20000"
"21.5070321873582","19823","82","46","41","8","20000"
"21.5477212452537","19822","83","46","41","8","20000"
"21.5749095040442","19821","84","46","41","8","20000"
"21.5921006505273","19820","85","46","41","8","20000"
"21.6008111666623","19820","84","47","41","8","20000"
"21.6626437678583","19820","83","48","41","8","20000"
"21.6818706858427","19819","84","48","41","8","20000"
"21.7325556849794","19818","85","48","41","8","20000"
"21.7636067307674","19817","86","48","41","8","20000"
"21.766864149918","19817","85","49","41","8","20000"
"21.7826396666587","19816","86","49","41","8","20000"
"21.7891543080095","19816","85","50","41","8","20000"
"21.8202956313201","19816","84","51","41","8","20000"
"21.8345802906542","19815","85","51","41","8","20000"
"21.8382136012894","19814","86","51","41","8","20000"
"21.8432156910544","19813","87","51","41","8","20000"
"21.8434038173666","19813","87","50","42","8","20000"
"21.851758631879","19812","88","50","42","8","20000"
"21.8525938952669","19812","88","49","43","8","20000"
"21.8849294833974","19811","89","49","43","8","20000"
"21.8851936773165","19810","90","49","43","8","20000"
"21.8875876298029","19809","91","49","43","8","20000"
"21.898858296114","19808","92","49","43","8","20000"
"21.9086094957373","19807","93","49","43","8","20000"
"21.9284868120678","19806","94","49","43","8","20000"
"21.9383039486212","19806","93","50","43","8","20000"
"21.9462550285576","19805","94","50","43","8","20000"
"21.9538577663381","19805","93","51","43","8","20000"
"21.9713750361663","19805","92","52","43","8","20000"
"21.9896061624828","19804","93","52","43","8","20000"
"21.9906889008895","19804","93","51","44","8","20000"
"21.9951248663784","19804","92","52","44","8","20000"
"21.9965826252772","19803","93","52","44","8","20000"
"22.0055267717926","19802","94","52","44","8","20000"
"22.0076739578432","19801","95","52","44","8","20000"
"22.0170500165858","19800","96","52","44","8","20000"
"22.0436636910158","19799","97","52","44","8","20000"
"22.0820128559541","19799","96","53","44","8","20000"
"22.0825581805484","19798","97","53","44","8","20000"
"22.0957663972893","19798","96","54","44","8","20000"
"22.1798168344856","19797","97","54","44","8","20000"
"22.1809992430971","19796","98","54","44","8","20000"
"22.1824372556078","19795","99","54","44","8","20000"
"22.1827284706283","19794","100","54","44","8","20000"
"22.1846474433109","19794","99","55","44","8","20000"
"22.1918558478475","19793","100","55","44","8","20000"
"22.2158447557195","19792","101","55","44","8","20000"
"22.2215166937255","19791","102","55","44","8","20000"
"22.2884625983348","19791","101","56","44","8","20000"
"22.2950478095169","19791","100","57","44","8","20000"
"22.3239589959501","19790","101","57","44","8","20000"
"22.3428785337745","19789","102","57","44","8","20000"
"22.3434480791527","19789","101","58","44","8","20000"
"22.3443705162755","19788","102","58","44","8","20000"
"22.3537013115084","19788","101","59","44","8","20000"
"22.3589808132976","19788","100","60","44","8","20000"
"22.3598379672736","19787","101","60","44","8","20000"
"22.3745021302866","19786","102","60","44","8","20000"
"22.3819537134993","19786","101","61","44","8","20000"
